Frame,X1,Y1,,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38
Tracks 1 to 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,71.133804,198.85916,1,475.21545,206.49187,-1,608.8038,204.1962,-1,110.59524,218.44048,-1,538.2128,302.48615,-1,148.83981,324.5,-1,257.71738,343.0797,-1,544.2789,549.7692,-1,221.69469,550.0752,-1,598.4176,563.8022,-1,210.33871,579.93225,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,71.23718,202.08333,2,475.2016,206.37903,-1,609.26624,206.22728,-1,108.18367,218.06122,-1,540.3792,316.47986,-1,146.91063,324.88647,-1,241.40973,340.9236,-1,544.9352,548.69446,-1,216.24193,546.9677,-1,598.76666,561.9889,-1,208.26074,578.2423,-1,546.8525,291.09836, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,71.23718,202.08333,1,475.18,206.388,-1,609.26624,206.22728,-1,108.18367,218.06122,-1,540.3792,316.47986,-1,146.91063,324.88647,-1,241.40973,340.9236,-1,544.9352,548.69446,-1,216.24193,546.9677,-1,598.78174,562.01935,-1,208.26074,578.2423,-1,546.8525,291.09836, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,70.95912,205.61949,1,475.09842,206.42914,-1,608.21277,208.15958,-1,103.84042,218.17021,-1,544.42206,320.9026,-1,145.89513,325.10974,-1,228.45833,335.06946,-1,545.9211,547.6053,-1,220.22278,544.75745,-1,599.4187,559.48376,-1,205.4939,576.04877,-1,550.8162,289.953, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,71.545456,211.41559,1,475.09842,206.42914,-1,607.8016,209.05556,-1,99.06842,217.51053,-1,553.7701,328.93796,-1,143.51878,325.45306,-1,210.40909,325.68832,-1,547.45325,546.04205,-1,230.35484,543.2258,-1,589.6453,557.5058,-1,202.24803,572.33466,-1,561.6727,289.17273,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,71.545456,211.41559,2,475.09842,206.42914,-1,607.8016,209.05556,-1,99.06842,217.51053,-1,553.7701,328.93796,-1,143.51878,325.45306,-1,210.40909,325.68832,-1,547.45325,546.04205,-1,230.35484,543.2258,-1,589.6453,557.5058,-1,202.24803,572.33466,-1,561.6727,289.17273,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,73.057045,212.82214,1,475.09842,206.42914,-1,603.0231,211.1,-1,97.30645,217.41397,-1,557.7932,331.72556,-1,141.90099,325.78714,-1,203.03125,321.78125,-1,547.9528,545.1698,-1,234.71774,542.4839,-1,583.2557,558.26135,-1,204.95334,571.70667,-1,567.5268,288.8393,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,74.270836,214.64583,4,475.09842,206.42914,-1,594.97455,215.29662,-1,96.378784,217.15657,-1,561.3082,334.363,-1,140.94286,325.97144,-1,194.7521,315.36554,-1,548.2019,544.7019,-1,238.436,541.54,-1,578.72473,558.93823,-1,208.07233,572.35535,-1,570.7558,288.61627,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,77.37857,215.25,1,475.148,206.308,-1,574.725,216.35,-1,95.19524,216.98572,-1,567.7361,338.8889,-1,137.46257,326.90106,-1,180.92975,301.2934,-1,549.6619,543.881,-1,246.2347,539.2755,-1,571.71277,560.0851,-1,217.04109,574.0959,-1,578.9737,288.42105,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
